exit,horizon,instance,order,search,solved,total,trivial,valid,gc_bfs_retries,gc_chain_labels,gc_chain_time,gc_chains,gc_distinct,gc_exact_sccs,gc_goal_factors,gc_heuristic_sccs,gc_largest_scc,gc_leftover,gc_mean_product_factors,gc_pairs_weight,gc_proven,gc_sccs,gc_too_big_alone,gc_total_time,gc_unsolved_abstractions,gc_violated
0,4,freecell/probfreecell-7-2,linear,99.364,True,102.216,False,True,,,,,,,,,,,,,,,,,,
0,2,freecell/probfreecell-7-2,relaxed,33.4037,True,35.9468,False,True,,,,,,,,,,,,,,,,,,
0,2,grid/prob01,goal_chains,63.9897,True,64.0965,False,True,0,4,0.0359621,1,4,0,1,0,1,2262,11,3,0,4,0,0.0436096,0,0
0,4,grid/prob01,linear,64.4448,True,64.5775,False,True,,,,,,,,,,,,,,,,,,
0,2,grid/prob01,relaxed,63.4374,True,63.5584,False,True,,,,,,,,,,,,,,,,,,
22,,grid/prob03,goal_chains,,False,,False,,20,20,7.95323,5,13,0,5,0,1,6486,8.8,15,0,13,0,8.01069,0,0
22,,grid/prob03,linear,,False,,False,,,,,,,,,,,,,,,,,,,
22,,grid/prob03,relaxed,,False,,False,,,,,,,,,,,,,,,,,,,
0,1,gripper/prob01,goal_chains,0.00458671,True,0.00668588,False,True,0,8,5.985e-05,4,8,0,4,0,1,8,3,4,0,8,0,9.1509e-05,0,0
0,3,gripper/prob01,linear,0.00639032,True,0.0101288,False,True,,,,,,,,,,,,,,,,,,
0,2,gripper/prob01,relaxed,0.00514335,True,0.00805957,False,True,,,,,,,,,,,,,,,,,,
0,1,gripper/prob03,goal_chains,0.00559738,True,0.0113202,False,True,0,16,0.000245462,8,16,0,8,0,1,16,3,8,0,16,0,0.000298173,0,0
0,5,gripper/prob03,linear,0.251327,True,0.255619,False,True,,,,,,,,,,,,,,,,,,
0,4,gripper/prob03,relaxed,0.200837,True,0.206668,False,True,,,,,,,,,,,,,,,,,,
0,,logistics00/adl-98-prob03,goal_chains,,True,0.168107,True,True,,,,,,,,,,,,,,,,,,
