instance,base_order,base_horizon,base_total,base_search,base_valid,plan_labels,distinct,fixed_breaks,first_occ_horizon,predicted_horizon,infer_optimal,infer_time,opt_horizon,opt_total,opt_search,opt_valid,iterations,horizon_chain,final_predicted,final_horizon,final_total,final_search,final_valid,infer_time_total,all_valid,note
pathways-noneg/p04,label_order_linear(),4,0.0686785,0.0156436,True,22,19,0,3,3,1,0.007,2,0.0610527,0.00797259,True,2,3/2>2/2,2,2,0.0602002,0.00748682,True,0.013,True,
pathways-noneg/p04,label_order_relaxed(),2,0.0681619,0.00920695,True,21,18,0,3,2,1,0.011,2,0.0638991,0.00772561,True,1,2/2,2,2,0.0638991,0.00772561,True,0.011,True,
pathways-noneg/p10,label_order_linear(),7,2.11787,0.462462,True,93,67,0,15,6,1,1.493,4,1.76967,0.120949,True,2,6/4>4/4,4,4,1.6798,0.0844323,True,2.85,True,
pathways-noneg/p10,label_order_relaxed(),3,1.72648,0.114915,True,94,71,0,10,3,1,1.595,3,1.71564,0.057472,True,1,3/3,3,3,1.71564,0.057472,True,1.595,True,
pathways-noneg/p14,label_order_linear(),,,,,,,,,,,,,,,,,,,,,,,,,base unsolved
pathways-noneg/p14,label_order_relaxed(),5,207.55,205.145,True,140,100,0,24,5,1,4.749,5,257.243,254.942,True,1,5/5,5,5,257.243,254.942,True,4.749,True,
pathways-noneg/p25,label_order_linear(),9,50.5639,4.74489,True,287,193,0,48,8,1,52.459,7,44.2557,2.84522,True,2,8/7>7/7,7,7,41.6735,2.34116,True,167.548,True,
pathways-noneg/p25,label_order_relaxed(),5,45.468,2.02893,True,305,202,0,50,5,1,70.852,5,42.668,1.73418,True,1,5/5,5,5,42.668,1.73418,True,70.852,True,
pathways-noneg/p26,label_order_linear(),9,44.4939,8.25088,True,266,166,0,56,8,1,39.02,7,38.5864,4.05203,True,2,8/7>7/7,7,7,36.5455,2.50683,True,108.115,True,
pathways-noneg/p26,label_order_relaxed(),6,49.6139,10.1072,True,273,176,0,64,6,1,104.742,6,44.0194,3.67414,True,1,6/6,6,6,44.0194,3.67414,True,104.742,True,
